day, S0 -6.000000|-6.000000,S1 -6.000000|-2.000000,S2 -6.000000|2.000000,S3 -6.000000|6.000000,S4 -2.000000|-6.000000,S5 -2.000000|-2.000000,S6 -2.000000|2.000000,S7 -2.000000|6.000000,S8 2.000000|-6.000000,S9 2.000000|-2.000000,S10 2.000000|2.000000,S11 2.000000|6.000000,S12 6.000000|-6.000000,S13 6.000000|-2.000000,S14 6.000000|2.000000,S15 6.000000|6.000000
48, 6.1719675,5.5911608,5.9370089,5.6761498,5.7808647,5.2175245,5.4113669,5.3673959,5.7599525,5.1211162,5.4023962,5.2883291,6.0252023,5.6521549,5.6374388,5.8757329
49, 6.1681285,5.5867119,5.9328909,5.6724882,5.7766771,5.2130728,5.4073048,5.3630333,5.7558341,5.1163855,5.3969669,5.2841287,6.0220399,5.6481118,5.6323304,5.8719001
50, 6.1639938,5.5826721,5.9282084,5.6676073,5.7727609,5.2070022,5.4023881,5.3576946,5.7512684,5.1116800,5.3917542,5.2788696,6.0178833,5.6432176,5.6273656,5.8671303
51, 6.1595693,5.5774312,5.9233556,5.6631193,5.7679935,5.2012572,5.3965988,5.3524518,5.7463608,5.1053958,5.3864169,5.2736654,6.0135512,5.6378331,5.6216011,5.8628240
52, 6.1545153,5.5717101,5.9188466,5.6574674,5.7625470,5.1947427,5.3906407,5.3470154,5.7414708,5.0992012,5.3804536,5.2678494,6.0082350,5.6319532,5.6159277,5.8575063
53, 6.1490493,5.5658073,5.9133797,5.6515622,5.7564578,5.1875648,5.3830948,5.3398747,5.7357488,5.0921330,5.3732133,5.2609291,6.0022483,5.6265931,5.6096730,5.8518553
54, 6.1431231,5.5593634,5.9076862,5.6461315,5.7505674,5.1805534,5.3758340,5.3336401,5.7297969,5.0847511,5.3662429,5.2540045,5.9963298,5.6203923,5.6037254,5.8448300
55, 6.1370549,5.5528855,5.9014134,5.6398387,5.7446208,5.1734595,5.3679166,5.3256764,5.7229567,5.0769162,5.3589463,5.2479777,5.9894824,5.6140099,5.5960841,5.8398609
56, 6.1312823,5.5453620,5.8948436,5.6329002,5.7371993,5.1657972,5.3595934,5.3178449,5.7163463,5.0694790,5.3507519,5.2400427,5.9818335,5.6065235,5.5883465,5.8334856
57, 6.1245937,5.5374508,5.8875113,5.6249981,5.7297387,5.1572194,5.3505969,5.3097591,5.7091222,5.0602379,5.3423209,5.2312546,5.9747076,5.5987005,5.5791669,5.8260407
58, 6.1176901,5.5289469,5.8786826,5.6174192,5.7211995,5.1477799,5.3408699,5.3004904,5.6998901,5.0496945,5.3329420,5.2230558,5.9674730,5.5898705,5.5694966,5.8187032
59, 6.1096859,5.5209675,5.8707871,5.6093068,5.7123094,5.1382890,5.3313589,5.2912931,5.6912537,5.0407143,5.3233004,5.2130251,5.9588709,5.5812054,5.5597286,5.8107948
60, 6.1008177,5.5121250,5.8614306,5.6001263,5.7028174,5.1278963,5.3197336,5.2814322,5.6817136,5.0309372,5.3126640,5.2035575,5.9506502,5.5716910,5.5496502,5.8025260
61, 6.0917029,5.5029964,5.8510690,5.5903096,5.6925440,5.1147599,5.3092709,5.2716269,5.6722746,5.0193810,5.3025980,5.1933713,5.9417872,5.5616875,5.5385680,5.7937226
62, 6.0827031,5.4922414,5.8404441,5.5805955,5.6820421,5.1021457,5.2978816,5.2603536,5.6619906,5.0071907,5.2909465,5.1821523,5.9324250,5.5502944,5.5279737,5.7840495
63, 6.0731292,5.4813194,5.8303351,5.5699134,5.6712451,5.0895467,5.2857437,5.2498660,5.6515336,4.9939966,5.2791195,5.1709485,5.9227409,5.5396051,5.5159473,5.7736444
64, 6.0626101,5.4710679,5.8179321,5.5597429,5.6600409,5.0757999,5.2732573,5.2383838,5.6393876,4.9816213,5.2655125,5.1585679,5.9125199,5.5278053,5.5041175,5.7627378
65, 6.0529156,5.4599009,5.8069654,5.5480309,5.6484723,5.0624065,5.2593231,5.2253489,5.6280947,4.9680934,5.2511125,5.1462145,5.9009438,5.5162172,5.4900765,5.7514544
66, 6.0418091,5.4475904,5.7939420,5.5353365,5.6357732,5.0487962,5.2443490,5.2125115,5.6155348,4.9544096,5.2363396,5.1324105,5.8896089,5.5034161,5.4768758,5.7402315
67, 6.0298667,5.4348454,5.7807851,5.5227261,5.6231675,5.0343823,5.2309389,5.1988339,5.6022882,4.9394984,5.2220902,5.1187291,5.8769546,5.4907794,5.4626908,5.7283635
68, 6.0179915,5.4203229,5.7672901,5.5096111,5.6110859,5.0196872,5.2156920,5.1853061,5.5882487,4.9242239,5.2067690,5.1041021,5.8640604,5.4782181,5.4486451,5.7163196
